a_id,b_id,count_west,west_consistency
17,17,5567.392760181132,0.3597639120655467
17,76,3019.9395475113038,0.23032895246969073
26,17,2548.8976470588204,0.18712381343446766
26,76,2365.921628959277,0.19184075511415746
26,15,2117.4858823529457,0.15847991843764975
39,15,1989.6109502262445,0.17066185938518033
15,40,1975.810497737555,0.16076731311063908
15,15,1891.172579185495,0.12856380680260465
76,15,1844.5818099547485,0.14038849010780313
26,26,1670.058642533919,0.13169132268402642
39,40,1618.8790045248898,0.15458201533384996
69,69,1516.6054298642457,0.3589157706309658
39,26,1481.0926696832569,0.13309216940670385
40,4,1379.3879638009091,0.15067261830300147
76,76,1351.9000904977204,0.09459001285971823
62,69,1351.1768325791886,0.37989792368464553
17,15,1326.1252488687821,0.06090844644100605
14,40,1217.4255203619914,0.1437705223257704
40,40,1210.2779185520285,0.09259907877476954
14,39,1140.074932126698,0.151283850646212
14,4,1107.8654298642564,0.16152460145787997
39,39,1041.2418099547508,0.09613651717075851
26,40,1034.9942081447978,0.05445884871089128
76,40,1027.3557466063394,0.06096757103455562
17,26,1026.8454298642557,0.03664136208799822
76,17,989.8339366515787,0.025860860677817978
4,55,981.980814479644,0.16983844734758027
98,32,978.0983710407254,0.314321245277755
76,26,969.6556561085957,0.04704792982125603
32,32,963.8065158371036,0.34121991744981106
34,14,949.3675113122183,0.17016393428152723
98,37,948.1646153846157,0.28966219215930256
15,4,946.2009049773798,0.06652305754807317
34,4,932.2085067873328,0.14654497180457235
88,88,928.463167420816,0.5125585766238766
69,76,910.592579185524,0.14209456342809018
8,17,899.7075113122203,0.14518659624788016
32,37,898.0604524886895,0.30876689870277846
15,26,884.7874208144791,0.018156983243095805
14,14,881.4207239818998,0.14252602189640287
69,17,874.4650678733051,0.11818394213485434
17,1,857.2843438914052,0.1600431675736201
15,39,856.2512217194583,0.03612955781837635
64,17,844.2198190045253,0.2021165930693046
10,26,834.9438009049812,0.12837871240080698
72,34,830.5835294117646,0.17205593163835753
4,4,814.0164705882365,0.09349475169813211
39,17,799.0882352941188,0.007527693806155525
39,76,798.5645248868781,0.024288252806843887
8,76,789.8881447963811,0.14032745443650194
39,4,766.5420814479636,0.061978709635836744
34,55,742.1106787330316,0.15253047066229108
40,39,734.4516742081461,0.031880033403334285
40,14,722.862443438915,0.0635650095015795
37,37,719.8550226244338,0.2456986247548718
40,55,710.4616289592763,0.08469900806234844
17,69,710.3200000000011,0.08499266675331472
98,98,709.0638914027156,0.23103248190044792
34,34,701.6263348416301,0.12632940513829244
17,40,697.3387330316734,-0.016182082824877018
10,15,693.6448868778282,0.08266858662033903
40,15,691.8026244343878,-0.014952663188024944
10,76,690.0880542986424,0.09103263594711476
19,19,686.5371040724019,0.28176812683518987
88,69,678.5195475113136,0.32677580615758284
4,34,668.1691402714947,0.08902833910144456
15,76,657.2776470588228,-0.03134852477103509
76,85,650.9036199095046,0.11877722791421552
54,39,650.0954751131228,0.09477587818851849
14,15,646.5204524886886,0.021303936357301226
10,17,642.4718552036194,0.06367601326083201
62,76,632.5101357466058,0.12429894932260138
54,15,632.4375565610853,0.05298633588076571
55,33,624.926063348418,0.1867219413423906
37,98,614.7149321266974,0.21323907157311833
17,48,598.783710407239,0.09044889590525118
55,55,598.3305882352956,0.13490249621124675
34,39,596.2300452488685,0.06095839835728008
4,33,587.4986425339374,0.13050688740080482
4,14,584.2331221719453,0.06205168647103742
76,1,579.1494117647072,0.11463795215856024
34,40,576.3637104072394,0.038711858415979974
55,34,574.644705882353,0.1120448839247599
54,40,574.1753846153838,0.05863739243901736
100,98,567.5690497737553,0.2351957675353813
62,17,563.9436199095035,0.09036384558029249
15,14,563.080542986425,0.008774866314087512
15,85,562.9294117647071,0.08246997714715937
37,61,561.9757466063345,0.2693244158148931
62,88,559.0070588235288,0.3262871497033075
76,48,556.1733031674211,0.09713511043429462
78,26,553.6801809954746,0.12457991129345174
15,11,552.5878733031668,0.07451808657802954
72,55,548.262171945701,0.12117538411716454
26,1,543.9085972850676,0.0979660304947532
26,85,541.8109502262437,0.08345900519627326
94,72,537.0537556561084,0.16010198656551772
15,17,536.2647058823546,-0.07442710082035649
78,39,533.2939366515832,0.1401689888769371
14,55,523.3950226244345,0.08355846751666288
54,26,519.4032579185506,0.0397652269466492
64,76,509.4661538461537,0.13490477645767907
78,15,505.32950226244384,0.09538934365854179
4,40,504.41963800905336,-0.008555650663911124
26,83,503.8415384615377,0.12812721632101742
17,39,503.6260633484173,-0.042973173457885726
15,68,503.48253393665067,0.08017050757236004
32,98,501.7714027149328,0.20007736414081925
26,48,494.84696832579107,0.07274936477940488
17,85,493.6291402714927,0.059101699639138
69,1,487.7415384615381,0.1908863211055399
54,76,486.7234389140269,0.024230172826028917
72,4,481.6225339366514,0.06033378933116837
15,48,480.2218099547508,0.06179512194249604
39,48,476.85149321266886,0.08696733499786807
76,11,476.82823529411684,0.06651530842181932
72,14,476.5045248868769,0.0773769883470179
40,34,476.3033484162896,0.009858176338056426
76,39,474.1064253393672,-0.03335848254808327
69,62,472.08144796380236,0.1919924333867713
40,11,469.81556561085887,0.06844486295146406
76,4,469.3553846153842,-0.021161562686380867
26,4,469.09592760181016,-0.028109773529292087
17,83,468.73104072398115,0.10656606947622452
8,69,465.84316742081353,0.16249847566361458
40,75,453.3570135746602,0.07978055722291295
37,32,451.53665158371115,0.18423340891948817
14,26,451.3593665158358,-0.013147510337642311
72,33,447.70723981900437,0.1335111940835828
15,75,446.2979185520359,0.060113122555934546
64,26,446.07420814479667,0.12092568403541881
33,100,446.07339366515845,0.2187231930329032
76,68,445.166425339366,0.0756623947770853
26,39,442.70262443439276,-0.049069471898226476
15,55,440.52361990950203,-0.0021816128418339284
22,39,439.87828054298564,0.11442877535969319
40,26,437.74524886877856,-0.06049367176443437
55,100,437.13257918552034,0.16416631033078882
10,40,435.73149321266914,0.034336506216154375
8,15,435.2565610859723,0.04075143047234246
54,4,432.2969230769226,0.04839439222901936
62,62,428.47457013574933,0.21528943855940288
98,18,425.43855203619836,0.17503530801268075
13,15,423.4627149321264,0.04029080055789526
34,33,421.3552941176471,0.1080881023360517
6,72,416.71837104072347,0.14306146755210922
78,40,416.0744796380089,0.08601100178189978
54,8,410.5064253393653,0.13135675448921852
54,17,407.6101357466055,-0.015234055493630109
15,34,407.3918552036197,-0.028265954598532008
40,33,405.633031674208,0.04637222916666559
34,15,403.4283257918554,-0.029272435364570866
72,72,403.0517647058842,0.07247463190000938
39,55,402.0104977375572,0.011319162659441117
66,38,401.3655203619902,0.16852225149670497
4,39,397.83321266968363,-0.023289549682735684
33,98,396.4392760180991,0.1511975441892645
55,72,396.073393665158,0.0700226792185765
4,75,394.79520361990893,0.08853542479598377
72,40,391.9084162895932,0.001918232749204073
100,37,390.69574660633486,0.1788831750776143
39,14,390.69457013574953,-0.014386513593762166
100,32,390.6279638009043,0.19523830057071578
34,26,390.61366515837096,-0.018770077167869596
4,53,389.69538461538355,0.05502111335711832
