a_id,b_id,count_south,south_consistency
17,17,4100.6072398189535,0.2839660822229914
17,76,2154.9209049773863,0.14959159644083989
17,26,1901.290316742087,0.1210582131378818
26,15,1668.911674208152,0.11252928884410615
15,15,1593.8274208144976,0.08710139894626481
17,15,1493.3787330316736,0.060056778755652636
26,26,1397.9413574660766,0.09953012471926272
26,76,1380.2320361990955,0.10190851830422204
15,40,1376.1775565610894,0.07028433795178865
76,17,1339.3056108597248,0.0797652140712886
69,69,1314.3945701357504,0.32107336589155716
76,76,1277.0999095022767,0.0760605492450773
76,26,1259.1906787330247,0.06920808252543535
76,15,1256.789773755658,0.0512748158521958
39,40,1217.560000000001,0.10359907187528254
15,39,1202.307420814473,0.05852310636435725
26,17,1194.9666063348402,0.07340596711226875
17,39,1104.8345701357446,0.0298786253444073
39,15,1080.83040723982,0.0759254024665797
40,40,1077.7220814479672,0.06032304188188877
26,40,1075.4920361990967,0.04674556769155229
26,39,1024.9404524886852,0.04934736687543546
39,39,984.7581900452484,0.07886223680597347
15,26,957.8150226244313,0.022052843593910115
17,40,939.5362895927623,-0.004769189625709889
40,4,914.1118552036183,0.0576788781955871
69,17,881.2669683257893,0.1243084502017694
40,39,877.1093212669672,0.03831295170815561
40,14,863.6264253393631,0.05797723994169337
14,4,842.2190950226237,0.11445757021600422
15,4,831.8321266968293,0.014855142006353144
39,14,829.9987330316724,0.0740040346650677
39,4,821.0297737556583,0.06332114031587822
98,37,818.0136651583693,0.2449336648744983
76,40,806.2204524886836,-0.00857942063777664
14,14,802.5792760180998,0.11567063416957796
76,39,788.1808144796366,-0.0020528329844696474
62,69,787.3871493212662,0.2769601111836591
32,32,782.1934841628963,0.2891376055429707
15,76,775.3507692307683,-0.004761408183622255
15,14,772.8161990950209,0.013054808387332055
14,40,764.0856108597285,0.07647995007383876
40,15,763.2093212669673,0.0004509688581984069
37,37,742.1449773755661,0.23998352032850706
69,62,738.3545701357457,0.2574194140512298
98,32,724.9629864253394,0.24295950472687075
4,34,718.1546606334812,0.07328534669855
4,4,713.9835294117634,0.06131297596047764
19,19,704.4628959275979,0.2643262961634155
69,76,701.5359276018087,0.09189296067714303
98,98,691.9361085972839,0.22182532356466134
17,48,689.1780995475112,0.07377632168755587
40,34,682.024524886877,0.025025684981830467
14,34,677.8112217194565,0.09137499323688676
34,34,675.3736651583697,0.10822060517314001
4,14,657.6823529411753,0.05780155380753431
17,1,652.3803619909482,0.09284868951730652
39,26,651.2642533936638,0.015590252424116791
17,14,649.3375565610851,-0.0256189458613187
17,8,644.4260633484157,0.052941034257503065
37,98,639.106787330316,0.22034974126047233
